n,runningTime
5,0.001377475264461566
5,0.0001526726697959578
5,0.00014839612442351865
5,0.00040028464685998993
5,0.0025796121686532635
5,0.00013300056108275088
5,0.0024923706430555748
5,0.0022930836287000655
5,0.0002001423234299915
5,0.00019629343259479348
10,0.005290514280240313
10,0.0022233759391293573
10,0.001406983427531372
10,0.002074979814705849
10,0.001082821288300742
10,0.006174476208722801
10,0.0012444747033788228
10,0.0028742661448140916
10,0.0015579454791783687
10,0.0019607960532617985
15,0.001981323471049512
15,0.0030543087049936524
15,0.0034614358244495214
15,0.005802844415858099
15,0.0025052002791728367
15,0.015957073748169626
15,0.0016370615685684653
15,0.004728148563764967
15,0.00945116527308304
15,0.0035084778235462966
20,0.0044257968059338015
20,0.0013565201921366676
20,0.004903059269497634
20,0.0061428297729667625
20,0.013995850040370628
20,0.004942403486924041
20,0.004918882487375653
20,0.007319735059461041
20,0.008592862616835228
20,0.0068677042135946165
25,0.004904769887646598
25,0.0024141098627400437
25,0.002967067179395988
25,0.008209684151465058
25,0.004856017270400859
25,0.006599564818742909
25,0.010409539091045916
25,0.0051053398656139
25,0.010749096793617352
25,0.0033532392265269717
30,0.008163069806905399
30,0.006372052604929346
30,0.014866127023661191
30,0.01132942400065684
30,0.009474258618094256
30,0.010168341932040525
30,0.0212330477741437
30,0.010900486499801576
30,0.0056339208736468915
30,0.005781034034458732
35,0.0043000663719842125
35,0.03606923898019787
35,0.013894923569581108
35,0.023675810490878968
35,0.01045187689023308
35,0.008625792016202949
35,0.006853591613865562
35,0.018086365689105377
35,0.009730423685903267
35,0.006319878751385621
40,0.012785160045434063
40,0.011637762922009465
40,0.04156246151109144
40,0.014488935721812313
40,0.005581319365565829
40,0.014707039535806654
40,0.04586338319215044
40,0.014807110697521608
40,0.008343540021622298
40,0.006442187949037281
45,0.0290616917329245
45,0.009081244098367414
45,0.06500006842472583
45,0.015346383068985725
45,0.03648620215401044
45,0.017685225733170995
45,0.048587970248929135
45,0.007021659847002315
45,0.08424965445513388
45,0.052265371614686584
50,0.014805827733910037
50,0.03916460252076681
50,0.008683953033268077
50,0.009638477960395742
50,0.014551373284250158
50,0.06735687257947531
50,0.020804965582363
50,0.055031868816115326
50,0.012321154872524609
50,0.028981292679922888
55,0.09131065851956244
55,0.06022316724371546
55,0.03186496722455612
55,0.03976502949105676
55,0.017799837149152342
55,0.015947237693812788
55,0.01768736400585702
55,0.014359784051564795
55,0.013070833276312754
55,0.01845286562752335
60,0.017993992309060403
60,0.06362858032378593
60,0.1434699718090129
60,0.017419652265542762
60,0.05885552803361005
60,0.01867738425957599
60,0.11933443269059696
60,0.036820628002134814
60,0.01589378087665727
60,0.06685566146182564
65,0.05032339236106376
65,0.051743205424712446
65,0.025736250051318965
65,0.02170517838326047
65,0.04653480081562256
65,0.02644102472869614
65,0.05313735921612617
65,0.07821972547999945
65,0.10946031708017978
65,0.01743333721073448
70,0.028566895433333794
70,0.021689782819919845
70,0.02803018898909304
70,0.019581445951309284
70,0.12205602616561562
70,0.10150209379661401
70,0.025828195776825602
70,0.112702793781561
70,0.07032436741340842
70,0.13182493875986978
75,0.06583656069957478
75,0.017554363444774346
75,0.11913685629439108
75,0.02501436919245137
75,0.05936614755107872
75,0.11676038003092781
75,0.018506750099215985
75,0.024300613769791646
75,0.023707456926635118
75,0.10416937514540248
80,0.027496048472076318
80,0.19119407989271053
80,0.01873554527664112
80,0.2612913627468423
80,0.020795557182543334
80,0.02471287274369427
80,0.06251411259972883
80,0.1111072147031047
80,0.1535673230878709
80,0.16266567336772741
85,0.2101246356383344
85,0.07414930959451471
85,0.10480144855144857
85,0.02764914879640923
85,0.11744890383589013
